0x0B00;id
0x1B00;name
0x2000;x
0x2100;y
0x6B00;target
0x6E00;speed
0x8700;parent
0x8D00;priority
0xB500;icon
0xC600;receiver
0xE100;type
0xE200;user
0xEE00;version
0xF000;data
0x3A01;offset
0x6501;none
0x7901;checksum
0xA101;amount
0xB701;state
0xD001;picture
0xD701;division
0x0C02;index
0x4002;sender
0x8027;cavalry
0x8127;infantry
0x8227;artillery
0x8627;transport
0x3028;provinces
0x3528;history
0x3C28;manpower
0x3E28;owner
0x4028;province
0x4A28;date
0x4B28;capital
0x5328;cost
0x5F28;technology
0x6C28;level
0x6D28;location
0x6E28;trade
0x9A28;country
0x9E28;navy
0xA028;ship
0xA328;unit
0xA628;strength
0xD528;skill
0xDA28;guarantee
0xDE28;first
0xDF28;second
0xE028;start_date
0xE628;town
0xE828;diplomacy
0xEA28;value
0xF128;attackers
0xF228;defenders
0xF328;active_war
0x1629;combat
0x3229;action
0x3429;military_access
0x6529;modifier
0x6E29;years
0x8F29;from
0x9029;to
0x9429;desc
0x9729;seed
0x9F29;difficulty
0xC929;flags
0xE029;front
0xEA29;count
0x022A;tag
0x122A;total
0x352A;player
0x4B2A;region
0x4E2A;empty
0x712A;war_score
0x7D2A;faction
0x8A2A;achievement
0xA12A;opinion
0xA62A;members
0xFB2A;fired_events
0x052B;progress
0x472B;ai
0x5C2B;setgameplayoptions
0x5E2B;gameplaysettings
0x952B;area
0xBD2B;threat
0xC42B;initialized
0xDD2B;last_election
0xE92B;major
0x162C;border_friction_claim
0x262C;original_attacker
0x272C;original_defender
0x7E2C;active
0x862C;base
0xBA2C;mission
0xC22C;multiplayer_random_seed
0xC32C;multiplayer_random_count
0xE22C;wargoal
0x0E2D;has_changed
0x132D;ironman
0x2C2D;last_recalc_date
0x492D;countries
0x4D2D;debug_current_ref_id
0x4E2D;cached_sum
0xD92D;attitude
0xE42D;locked
0xF82D;tutorial
0x3B2E;states
0x3E2E;ideology
0x402E;national_unity
0x422E;resources
0x432E;active_relations
0x5C2E;research_points
0x5D2E;technologies
0x672E;slots
0x9A2E;experience
0xA12E;is_rocket
0xCA2E;is_reserve
0xCB2E;organisation
0xD72E;dig_in
0xE42E;supplies
0xE92E;country_intel
0x012F;temperature
0x022F;rain_light
0x032F;rain_heavy
0x042F;snow
0x052F;blizzard
0x062F;mud
0x082F;weather
0x0A2F;period
0x1A2F;theatre
0x212F;regions
0x222F;current_province
