aristocracy_ideas:Doctrines aristocratiques
plutocracy_ideas:Doctrines ploutocratiques
innovativeness_ideas:Doctrines novatrices
religious_ideas:Doctrines religieuses
spy_ideas:Doctrines d'espionnage
diplomatic_ideas:Doctrines diplomatiques
offensive_ideas:Doctrines offensives
defensive_ideas:Doctrines défensives
trade_ideas:Doctrines commerciales
economic_ideas:Doctrines économiques
exploration_ideas:Doctrines d'exploration
naval_ideas:Doctrines navales
quality_ideas:Doctrines de qualité
quantity_ideas:Doctrines de quantité
expansion_ideas:Doctrines expansionnistes
administrative_ideas:Doctrines administratives
ENG_ideas:Doctrines anglaises
SWE_ideas:Doctrines suédoises
RUS_ideas:Doctrines moscovites
SPA_ideas:Doctrines espagnoles
NED_ideas:Doctrines néerlandaises
DAN_ideas:Doctrines danoises
FRA_ideas:Doctrines françaises
TUR_ideas:Doctrines ottomanes
VEN_ideas:Doctrines vénitiennes
PRU_ideas:Doctrines prussiennes
POR_ideas:Doctrines portugaises
POL_ideas:Doctrines polonaises
HAB_ideas:Doctrines autrichiennes
CHI_ideas:Doctrines ming
BAV_ideas:Doctrines bavaroises
PER_ideas:Doctrines persanes
BUR_ideas:Doctrines bourguignonnes
GEN_ideas:Doctrines génoises
SCO_ideas:Doctrines écossaises
HUN_ideas:Doctrines hongroises
JAP_ideas:Doctrines nippones
MAM_ideas:Doctrines mameloukes
NAP_ideas:Doctrines napolitaines
ARA_ideas:Doctrines aragonaises
TIM_ideas:Doctrines timourides
MUG_ideas:Doctrines mogholes
HSA_ideas:Doctrines hanséatiques
MLO_ideas:Doctrines milanaises
BYZ_ideas:Doctrines byzantines
VIJ_ideas:Doctrines vijayanâgari
AYU_ideas:Doctrines d'Ayutthaya
NOR_ideas:Doctrines norvégiennes
OMA_ideas:Doctrines omanaises
KOR_ideas:Doctrines coréennes
BOH_ideas:Doctrines bohémiennes
ITA_ideas:Doctrines italiennes
MCH_ideas:Doctrines mandchoues
PAL_ideas:Doctrines palatines
NOV_ideas:Doctrines novgorodiennes
ETH_ideas:Doctrines éthiopiennes
DAI_ideas:Doctrines daï viêt
SAV_ideas:Doctrines savoyardes
SAX_ideas:Doctrines saxonnes
LIT_ideas:Doctrines lithuaniennes
berber_ideas:Doctrines berbères
indian_muslim_ideas:Doctrines des sultanats indiens
horde_ideas:Doctrines de la Horde
theocracy_ideas:Doctrines divines
default_ideas:Doctrines nationales
anatolian_beyliks_ideas:Doctrines anatoliennes
MAR_ideas:Doctrines marathes
TAU_ideas:Doctrines taungû
rajput_ideas:Doctrines râjpoutes
GRA_ideas:Doctrines grenadines
PAP_ideas:Doctrines pontificales
daimyo_ideas:Doctrines des daimyôs
SER_ideas:Doctrines serbes
ORI_ideas:Doctrines orissiennes
PUN_ideas:Doctrines panjâbî
RAG_ideas:Doctrines ragusaines
german_ideas:Doctrines allemandes
RYU_ideas:Doctrines ryûkyû
bengali_ideas:Doctrines bengalies
TIB_ideas:Doctrines tibétaines
dravidian_ideas:Doctrines dravidiennes
ASS_ideas:Doctrines assamaises
gujarati_ideas:Doctrines gujarâtî
TUS_ideas:Doctrines toscanes
USA_ideas:Doctrines américaines
SWI_ideas:Doctrines suisses
irish_ideas:Doctrines irlandaises
SON_ideas:Doctrines songhaïes
BRI_ideas:Doctrines bretonnes
malayan_ideas:Doctrines des sultanats malais
arabian_ideas:Doctrines arabes
latin_ideas:Doctrines italiennes
NAJ_ideas:Doctrines najdi
HED_ideas:Doctrines hedjâzi
NPL_ideas:Doctrines népalaises
KNI_ideas:Doctrines hospitalières
KON_ideas:Doctrines congolaises
colonial_ideas:Doctrines coloniales
client_ideas:Doctrines des États-clients
MAL_ideas:Doctrines maliennes
native_ideas:Doctrines indigènes
HUR_ideas:Doctrines huronnes
IRO_ideas:Doctrines iroquoises
CHICK_ideas:Doctrines chicachas
CHE_ideas:Doctrines cherokees
KUR_ideas:Doctrines courlandaises
humanist_ideas:Doctrines humanistes
influence_ideas:Doctrines d'influence
maritime_ideas:Doctrines maritimes
central_indic_ideas:Doctrines centre-indiennes
PRO_ideas:Doctrines provençales
MDI_ideas:Doctrines mogadisciennes
TRE_ideas:Doctrines trébizondaises
swahili_ideas:Doctrines swahilies
javan_ideas:Doctrines javanaises
CRO_ideas:Doctrines croates
CYP_ideas:Doctrines chypriotes
NAV_ideas:Doctrines navarraises
AZT_ideas:Doctrines aztèques
DAH_ideas:Doctrines dahoméennes
siberian_ideas:Doctrines sibériennes
AJU_ideas:Doctrines ajûrânes
BOS_ideas:Doctrines bosniennes
MOL_ideas:Doctrines moldaves
pacific_northwest_ideas:Doctrines du Nord-Ouest Pacifique
hausa_ideas:Doctrines haussas
TAR_ideas:Doctrines tarasques
AIR_ideas:Doctrines aïriennes
mossi_ideas:Doctrines mossies
fulani_jihad_ideas:Doctrines peules
mesoamerican_ideas:Doctrines méso-américaines
KAR_ideas:Doctrines karamanides
MON_ideas:Doctrines monténégrines
RMN_ideas:Doctrines roumaines
ATH_ideas:Doctrines athéniennes
GOT_ideas:Doctrines gotlandaises
FIN_ideas:Doctrines finlandaises
ALB_ideas:Doctrines albanaises
PLT_ideas:Doctrines polotskiennes
PRM_ideas:Doctrines permiennes
ASH_ideas:Doctrines ashanties
guajiro_ideas:Doctrines arawaks
MPC_ideas:Doctrines mapuches
HAM_ideas:Doctrines hambourgeoises
INC_ideas:Doctrines incas
CHM_ideas:Doctrines chimuanes
MCA_ideas:Doctrines muiscas
CYA_ideas:Doctrines chachapoyas
TEU_ideas:Doctrines teutoniques
BUL_ideas:Doctrines bulgares
KIE_ideas:Doctrines kiéviennes
NAX_ideas:Doctrines naxiotes
TUA_ideas:Doctrines tapuias
POM_ideas:Doctrines poméraniennes
KAZ_ideas:Doctrines kazanaises
ARM_ideas:Doctrines arméniennes
WLS_ideas:Doctrines galloises
west_african_ideas:Doctrines ouest-africaines
andean_ideas:Doctrines andines
aymaran_ideas:Doctrines aymaras
tupi_ideas:Doctrines tupies
CUA_ideas:Doctrines charruanes
GUA_ideas:Doctrines guaranies
LXA_ideas:Doctrines lan-xangi
caucasus_ideas:Doctrines caucasiennes
CIR_ideas:Doctrines circassiennes
KHI_ideas:Doctrines khivanaises
BAH_ideas:Doctrines bahmanies
JAJ_ideas:Doctrines siddhies
JNP_ideas:Doctrines jawnpuries
jerusalem_ideas:Doctrines hiérosolymitaines
KHM_ideas:Doctrines khmères
ZAZ_ideas:Doctrines zaporogues
shan_ideas:Doctrines shan
CAN_ideas:Doctrines canadiennes
QUE_ideas:Doctrines québécoises
MEX_ideas:Doctrines mexicaines
TRA_ideas:Doctrines transylvaines
SUK_ideas:Doctrines sukhothaïes
chinese_ideas:Doctrines chinoises
WBG_ideas:Doctrines wurtzburgeoises
CEY_ideas:Doctrines cingalaises
CND_ideas:Doctrines candarides
BRZ_ideas:Doctrines brésiliennes
vindhyan_ideas:Doctrines vindhyennes
kurdish_ideas:Doctrines kurdes
CAB_ideas:Doctrines caribes
BEN_ideas:Doctrines béninoises
SHL_ideas:Doctrines holsteinoises
BRE_ideas:Doctrines brêmoises
HES_ideas:Doctrines hessoises
MUN_ideas:Doctrines münstéroises
NOL_ideas:Doctrines northumbriennes
ARK_ideas:Doctrines arakanaises
THU_ideas:Doctrines thuringiennes
BTI_ideas:Doctrines bêta israël
LNA_ideas:Doctrines lan-na
PGR_ideas:Doctrines pagaruyung
CMI_ideas:Doctrines miao
CAT_ideas:Doctrines catalanes
laotian_ideas:Doctrines laotiennes
CHA_ideas:Doctrines chames
BAD_ideas:Doctrines badoises
SDY_ideas:Doctrines chutiya
MLB_ideas:Doctrines manipouri
somali_ideas:Doctrines somalies
PEG_ideas:Doctrines pégouanes
KUT_ideas:Doctrines kutaïes
sulawesi_ideas:Doctrines sulawésiennes
mayan_ideas:Doctrines mayas
KIC_ideas:Doctrines quichés
moluccan_ideas:Doctrines moluquoises
LDK_ideas:Doctrines laddâkhi
ZIM_ideas:Doctrines monomotapas
BAL_ideas:Doctrines baloutches
ORL_ideas:Doctrines orléanaises
ORM_ideas:Doctrines ormuziennes
greek_ideas:Doctrines grecques
KGR_ideas:Doctrines kangri
KAS_ideas:Doctrines yarkandiennes
LUX_ideas:Doctrines luxembourgeoises
YOR_ideas:Doctrines andhraïtes
LON_ideas:Doctrines léonaises
CYI_ideas:Doctrines yi
NZH_ideas:Doctrines nijégorodiennes
SMI_ideas:Doctrines lapones
nubian_ideas:Doctrines nubiennes
MAZ_ideas:Doctrines mazoviennes
GAL_ideas:Doctrines galiciennes
NEV_ideas:Doctrines nivernaises
french_culture_ideas:Doctrines ducales françaises
MED_ideas:Doctrines medri bâhri
CDL_ideas:Doctrines dali
JMN_ideas:Doctrines mayenniennes
TRT_ideas:Doctrines tirhuti
ROM_ideas:Doctrines romaines
MNS_ideas:Doctrines thomondiennes
SLN_ideas:Doctrines sligoanes
DMS_ideas:Doctrines desmondaises
african_great_lakes_ideas:Doctrines des Grands Lacs
MRA_ideas:Doctrines maraves
ANT_ideas:Doctrines antaimoro
malagasy_ideas:Doctrines malgaches
MIR_ideas:Doctrines mérina
BTS_ideas:Doctrines betsimisaraka
zambezi_ideas:Doctrines zambéziennes
congolese_minor_ideas:Doctrines congolaises
TBK_ideas:Doctrines tumbuka
KUB_ideas:Doctrines kuba
LUB_ideas:Doctrines lubas
LND_ideas:Doctrines lunda
RZW_ideas:Doctrines butwa
MLW_ideas:Doctrines mâlwâ
PAT_ideas:Doctrines pattani
KAF_ideas:Doctrines kaffa
CEP_ideas:Doctrines ioniennes
LOR_ideas:Doctrines lorraines
WUR_ideas:Doctrines wurtembourgeoises
SLO_ideas:Doctrines slovaques
GLH_ideas:Doctrines de la Horde d'or
ANS_ideas:Doctrines ansbachoises
OKA_ideas:Doctrines odoïèves
GHR_ideas:Doctrines garhwâli
DTT_ideas:Doctrines dithmarses
HTK_ideas:Doctrines hatakeyama
IMG_ideas:Doctrines imagawa
AMA_ideas:Doctrines amago
HSK_ideas:Doctrines hosokawa
UES_ideas:Doctrines uesugi
YMN_ideas:Doctrines yamana
DTE_ideas:Doctrines date
SHN_ideas:Doctrines shôni
OGS_ideas:Doctrines ogasawara
OTM_ideas:Doctrines ôtomo
OUC_ideas:Doctrines ôuchi
UTN_ideas:Doctrines utsunomiya
ASK_ideas:Doctrines ashikaga
TKI_ideas:Doctrines toki
STK_ideas:Doctrines satake
AKT_ideas:Doctrines andô
CBA_ideas:Doctrines chiba
SMZ_ideas:Doctrines shimazu
ITO_ideas:Doctrines itô
ISK_ideas:Doctrines isshiki
TTI_ideas:Doctrines tsutsui
tti_warrior_monk: Moines guerriers
KKC_ideas:Doctrines kikuchi
kkc_disinguished_family_in_kyushu: Famille honorée
KNO_ideas:Doctrines kôno
